cluster_num,iterations,train_LL,dev_LL
1,1,-4.784350107,-4.825858361
1,2,-4.784350107,-4.825858361
1,5,-4.784350107,-4.825858361
1,10,-4.784350107,-4.825858361
1,20,-4.784350107,-4.825858361
1,50,-4.784350107,-4.825858361
2,1,-4.784392323,-4.84088506
2,2,-4.710348619,-4.781060722
2,5,-4.653179282,-4.713742674
2,10,-4.55325179,-4.646767424
2,20,-4.553066643,-4.659450772
2,50,-4.545848118,-4.649119731
3,1,-4.722568336,-4.793958212
3,2,-4.677473135,-4.765056501
3,5,-4.557680331,-4.648354993
3,10,-4.489060267,-4.595741464
3,20,-4.508429568,-4.579482898
3,50,-4.408487572,-4.428394076
5,1,-4.799191598,-4.888608059
5,2,-4.642239417,-4.731937171
5,5,-4.554134838,-4.670282579
5,10,-4.422868307,-4.509857641
5,20,-4.379840003,-4.380223389
5,50,-4.350207786,-4.333457312
7,1,-4.694863635,-4.786986378
7,2,-4.622138433,-4.719346058
7,5,-4.443507198,-4.520672326
7,10,-4.39420183,-4.408614178
7,20,-4.38231024,-4.3925127
7,50,-4.347418909,-4.341140158
10,1,-4.671810083,-4.773922551
10,2,-4.607282501,-4.697008864
10,5,-4.415756339,-4.485036102
10,10,-4.395630333,-4.407433356
10,20,-4.359472169,-4.353186797
10,50,-4.334956458,-4.342358073
20,1,-4.587237595,-4.690888668
20,2,-4.540648524,-4.634465491
20,5,-4.437648593,-4.517382484
20,10,-4.377324816,-4.386046991
20,20,-4.366727497,-4.362012418
20,50,-4.319966388,-4.372416152
50,1,-4.632925899,-4.733876197
50,2,-4.52781875,-4.625877518
50,5,-4.410440348,-4.459293987
50,10,-4.369059603,-4.380636194
50,20,-4.33763209,-4.322406659
50,50,-4.30626379,-4.359019833
100,1,-4.618405795,-4.719297992
100,2,-4.513653196,-4.604265547
100,5,-4.395653144,-4.438489376
100,10,-4.346902641,-4.338393599
100,20,-4.32871914,-4.322009972
100,50,-4.256709969,-4.450812121
