cluster_num,iterations,train_LL,dev_LL
1,1,-4.784350107,-4.825858361
1,2,-4.784350107,-4.825858361
1,5,-4.784350107,-4.825858361
1,10,-4.784350107,-4.825858361
1,20,-4.784350107,-4.825858361
1,50,-4.784350107,-4.825858361
2,1,-4.795362773,-4.839737682
2,2,-4.787400284,-4.817182219
2,5,-4.784391656,-4.8257826
2,10,-4.799385004,-4.691266902
2,20,-4.718794639,-4.683270052
2,50,-4.729085378,-4.711981711
3,1,-4.801373926,-4.853110043
3,2,-4.796597799,-4.842555515
3,5,-4.746230874,-4.73047246
3,10,-4.738048538,-4.729770624
3,20,-4.659045754,-4.670456159
3,50,-4.704387466,-4.716304095
5,1,-4.857840026,-4.931550618
5,2,-4.794685525,-4.835586271
5,5,-4.754333447,-4.818517222
5,10,-4.752190129,-4.800799635
5,20,-4.640922619,-4.72574853
5,50,-4.60255615,-4.626873981
7,1,-4.794166103945277,-4.8658968675729914
7,2,-4.787524261215906,-4.8313703416033205
7,5,-4.810996963064105,-4.833364335768851
7,10,-4.723712669463759,-4.750566428351091
7,20,-4.65784374852833,-4.699971104736749
7,50,-4.636853566,-4.677153718
10,1,-4.7804895675687495,-4.8090514556308195
10,2,-4.73878594126749,-4.838854409531579
10,5,-4.5915872486983025,-4.627231624890199
10,10,-4.7102211521708215,-4.760858449786002
10,20,-4.528675103401866,-4.524845178656015
10,50,-4.489704947,-4.498080164
20,1,-4.8685296188559875,-4.884795222386544
20,2,-4.8059275843731335,-4.88237972079284
20,5,-4.6336062545207275,-4.692542638816719
20,10,-4.584896478228877,-4.632550513112146
20,20,-4.550971316867776,-4.575681439568672
20,50,-4.412052375186414,-4.427581308166519
50,1,-4.831675091,-4.870572149
50,2,-4.776841329289554,-4.832020550549039
50,5,-4.716166487886323,-4.778680958131074
50,10,-4.731862265908014,-4.778625194684582
50,20,-4.463802346621015,-4.49800882333751
50,50,-4.486977654527422,-4.507215876674653
100,1,-4.813939502348341,-4.880209490364798
100,2,-4.772170606714279,-4.826379951495027
100,5,-4.626646259301961,-4.683324289588947
100,10,-4.555498484179396,-4.56819825561132
100,20,-4.453905710722645,-4.546318065137638
100,50,-4.393203221126181,-4.406553121283853
